Department	CourseID	Credits	Course Name	
CEEN	441	3.0	INTRODUCTION TO THE SEISMIC DESIGN OF STRUCTURES	
CEEN	442	3.0	TIMBER AND MASONRY DESIGN	
CEEN	443	3.0	DESIGN OF STEEL STRUCTURES	
CEEN	445	3.0	DESIGN OF REINFORCED CONCRETE STRUCTURES	
CEEN	446	3.0	STRUCTURAL LOADS	
CEEN	460	3.0	MOLECULAR MICROBIAL ECOLOGY AND THE ENVIRONMENT	
CEEN	461	3.0	FUNDAMENTALS OF ECOLOGY	
CEEN	470	3.0	WATER AND WASTEWATER TREATMENT PROCESSES	
CEEN	471	3.0	WATER AND WASTEWATER TREATMENT SYSTEMS ANALYSIS AND DESIGN	
CEEN	472	3.0	ONSITE WATER RECLAMATION AND REUSE	
CEEN	473	3.0	HYDRAULIC PROBLEMS	
CEEN	475	3.0	SITE REMEDIATION ENGINEERING	
CEEN	477	3.0	SUSTAINABLE ENGINEERING DESIGN	
CEEN	479	3.0	AIR POLLUTION	
CEEN	480	3.0	CHEMICAL FATE AND TRANSPORT IN THE ENVIRONMENT	
CEEN	482	3.0	HYDROLOGY AND WATER RESOURCES LABORATORY	
CEEN	492	3.0	ENVIRONMENTAL LAW	
CHGN	121	4.0	PRINCIPLES OF CHEMISTRY I	
CHGN	122	4.0	PRINCIPLES OF CHEMISTRY II (SC1)	
CHGN	125	4.0	MOLECULAR ENGINEERING & MATERIALS CHEMISTRY	
CHGN	209	3.0	INTRODUCTION TO CHEMICAL THERMODYNAMICS	
CHGN	221	3.0	ORGANIC CHEMISTRY I	
CHGN	222	3.0	ORGANIC CHEMISTRY II	
CHGN	223	1.0	ORGANIC CHEMISTRY I LABORATORY	
CHGN	335	3.0	INSTRUMENTAL ANALYSIS	
CHGN	336	3.0	ANALYTICAL CHEMISTRY	
CHGN	351	4.0	PHYSICAL CHEMISTRY: A MOLECULAR PERSPECTIVE I	
CHGN	403	3.0	INTRODUCTION TO ENVIRONMENTAL CHEMISTRY	
CHGN	411	3.0	APPLIED RADIOCHEMISTRY	
CHGN	428	3.0	BIOCHEMISTRY	
CHGN	429	3.0	BIOCHEMISTRY II	
CHGN	430	3.0	INTRODUCTION TO POLYMER SCIENCE	
CHGN	431	2.0	INTRODUCTORY BIOCHEMISTRY LABORATORY	
CHGN	441	3.0	THE CHEMISTRY AND BIOCHEMISTRY OF PHARMACEUTICALS	
CHGN	445	3.0	CHEMICAL BIOLOGY	
CHGN	462	3.0	MICROBIOLOGY	
CSCI	101	3.0	INTRODUCTION TO COMPUTER SCIENCE	
CSCI	102	1.0	INTRODUCTION TO COMPUTER SCIENCE - LAB	
CSCI	200	3.0	FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN	
CSCI	220	3.0	DATA STRUCTURES AND ALGORITHMS	
CSCI	250	3.0	PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM	
CSCI	260	2.0	FORTRAN PROGRAMMING	
CSCI	274	1.0	INTRODUCTION TO THE LINUX OPERATING SYSTEM	
CSCI	290	1.0	PROGRAMMING CHALLENGES I	
CSCI	295	1.0	INDUSTRY EXPLORATION I	
CSCI	303	3.0	INTRODUCTION TO DATA SCIENCE	
CSCI	306	3.0	SOFTWARE ENGINEERING	
CSCI	340	3.0	COOPERATIVE EDUCATION	
CSCI	341	3.0	COMPUTER ORGANIZATION	
CSCI	358	3.0	DISCRETE MATHEMATICS	
CSCI	370	4.5	ADVANCED SOFTWARE ENGINEERING	
CSCI	390	1.0	PROGRAMMING CHALLENGES II	
CSCI	395	1.0	INDUSTRY EXPLORATION II	
CSCI	400	3.0	PRINCIPLES OF PROGRAMMING LANGUAGES	
CSCI	403	3.0	DATA BASE MANAGEMENT	
CSCI	404	3.0	ARTIFICIAL INTELLIGENCE	
CSCI	406	3.0	ALGORITHMS	
CSCI	410	3.0	ELEMENTS OF COMPUTING SYSTEMS	
CSCI	422	3.0	USER INTERFACES	
CSCI	423	3.0	COMPUTER SIMULATION	
CSCI	425	3.0	COMPILER DESIGN	
CSCI	432	3.0	ROBOT ETHICS	
CSCI	436	3.0	HUMAN-ROBOT INTERACTION	
CSCI	437	3.0	INTRODUCTION TO COMPUTER VISION	
CSCI	440	3.0	PARALLEL COMPUTING FOR SCIENTISTS AND ENGINEERS	
CSCI	441	3.0	COMPUTER GRAPHICS	
CSCI	442	3.0	OPERATING SYSTEMS	
CSCI	443	3.0	ADVANCED PROGRAMMING CONCEPTS USING JAVA	
CSCI	444	3.0	ADVANCED COMPUTER GRAPHICS	
CSCI	445	3.0	WEB PROGRAMMING	
CSCI	446	3.0	WEB APPLICATIONS	
CSCI	448	3.0	MOBILE APPLICATION DEVELOPMENT	
CSCI	455	3.0	GAME THEORY AND NETWORKS	
CSCI	470	3.0	INTRODUCTION TO MACHINE LEARNING	
CSCI	471	3.0	COMPUTER NETWORKS I	
CSCI	473	3.0	HUMAN-CENTERED ROBOTICS	
CSCI	474	3.0	INTRODUCTION TO CRYPTOGRAPHY	
CSCI	475	3.0	INFORMATION SECURITY AND PRIVACY	
CSCI	477	3.0	ELEMENTS OF GAMES AND GAME DEVELOPMENT	
CSCI	478	3.0	INTRODUCTION TO BIOINFORMATICS	
CSCI	480	3.0	COMPUTER SCIENCE HONORS THESIS	
CSCI	490	1.0	PROGRAMMING CHALLENGES III	
CSM	101	0.5	FRESHMAN SUCCESS SEMINAR	
EBGN	201	3.0	PRINCIPLES OF ECONOMICS	
EBGN	301	3.0	INTERMEDIATE MICROECONOMICS	
EBGN	302	3.0	INTERMEDIATE MACROECONOMICS	
EBGN	305	3.0	FINANCIAL ACCOUNTING	
EBGN	306	3.0	MANAGERIAL ACCOUNTING	
EBGN	310	3.0	ENVIRONMENTAL AND RESOURCE ECONOMICS	
EBGN	320	3.0	ECONOMICS AND TECHNOLOGY	
EBGN	321	3.0	ENGINEERING ECONOMICS	
EBGN	330	3.0	ENERGY ECONOMICS	
EBGN	340	3.0	ENERGY AND ENVIRONMENTAL POLICY	
EBGN	401	3.0	ADVANCED TOPICS IN ECONOMICS	
EBGN	430	3.0	ADVANCED ENERGY ECONOMICS	
EBGN	434	3.0	PROPERTY RIGHTS AND NATURAL RESOURCES	
EBGN	437	3.0	REGIONAL ECONOMICS	
EBGN	441	3.0	INTERNATIONAL ECONOMICS	
EBGN	443	3.0	PUBLIC ECONOMICS	
EBGN	470	3.0	ENVIRONMENTAL ECONOMICS	
EDNS	151	3.0	DESIGN I	
EDNS	315	3.0	ENGINEERING FOR SOCIAL AND ENVIRONMENTAL RESPONSIBILITY	
EDNS	375	3.0	ENGINEERING CULTURES	
EDNS	430	3.0	CORPORATE SOCIAL RESPONSIBILITY	
EDNS	475	3.0	ENGINEERING CULTURES IN THE DEVELOPING WORLD	
EDNS	477	3.0	ENGINEERING AND SUSTAINABLE COMMUNITY DEVELOPMENT	
EDNS	478	3.0	ENGINEERING AND SOCIAL JUSTICE	
EDNS	479	3.0	COMMUNITY-BASED RESEARCH	
EDNS	480	3.0	ANTHROPOLOGY OF DEVELOPMENT	
EDNS	491	3.0	SENIOR DESIGN I	
EDNS	492	3.0	SENIOR DESIGN II	
EENG	281	3.0	INTRODUCTION TO ELECTRICAL CIRCUITS  ELECTRONICS AND POWER	
EENG	281	3.0	"INTRODUCTION TO ELECTRICAL CIRCUITS, ELECTRONICS AND POWER"	
EENG	307	3.0	INTRODUCTION TO FEEDBACK CONTROL SYSTEMS	
EENG	310	4.0	INFORMATION SYSTEMS SCIENCE I	
EENG	311	3.0	INFORMATION SYSTEMS SCIENCE II	
EENG	350	2.0	SYSTEMS EXPLORATION AND ENGINEERING DESIGN LAB	
EENG	383	4.0	EMBEDDED SYSTEMS	
EENG	385	4.0	ELECTRONIC DEVICES AND CIRCUITS	
EENG	386	3.0	FUNDAMENTALS OF ENGINEERING ELECTROMAGNETICS	
EENG	389	4.0	FUNDAMENTALS OF ELECTRIC MACHINERY	
EENG	390	3.0	"ENERGY, ELECTRICITY, RENEWABLE ENERGY, AND ELECTRIC POWER GRID"	
EENG	411	3.0	DIGITAL SIGNAL PROCESSING	
EENG	413	4.0	ANALOG AND DIGITAL COMMUNICATION SYSTEMS	
EENG	415	3.0	DATA SCIENCE FOR ELECTRICAL ENGINEERING	
EENG	417	3.0	MODERN CONTROL DESIGN	
EENG	421	3.0	SEMICONDUCTOR DEVICE PHYSICS AND DESIGN	
EENG	423	3.0	INTRODUCTION TO VLSI DESIGN	
EENG	425	3.0	INTRODUCTION TO ANTENNAS	
EENG	427	3.0	WIRELESS COMMUNICATIONS	
EENG	428	3.0	COMPUTATIONAL ELECTROMAGNETICS	
EENG	429	3.0	ACTIVE RF & MICROWAVE DEVICES	
EENG	430	3.0	PASSIVE RF & MICROWAVE DEVICES	
EENG	437	3.0	INTRODUCTION TO COMPUTER VISION	
EENG	470	3.0	INTRODUCTION TO HIGH POWER ELECTRONICS	
EENG	480	3.0	POWER SYSTEMS ANALYSIS	
EENG	481	3.0	ANALYSIS AND DESIGN OF ADVANCED ENERGY SYSTEMS	
EENG	486	3.0	ELECTROMAGNETIC FIELDS AND WAVES	
EENG	489	3.0	COMPUTATIONAL METHODS IN ENERGY SYSTEMS AND POWER ELECTRONICS	
ENGY	200	3.0	INTRODUCTION TO ENERGY	
GEGN	307	3.0	PETROLOGY	
GEGN	316	6.0	FIELD GEOLOGY	
GEGN	342	3.0	ENGINEERING GEOMORPHOLOGY	
GEGN	466	3.0	GROUNDWATER ENGINEERING	
GEGN	467	4.0	GROUNDWATER ENGINEERING	
GEGN	468	4.0	ENGINEERING GEOLOGY AND GEOTECHNICS	
GEGN	469	3.0	ENGINEERING GEOLOGY DESIGN	
GEGN	470	3.0	GROUND-WATER ENGINEERING DESIGN	
GEGN	475	3.0	APPLICATIONS OF GEOGRAPHIC INFORMATION SYSTEMS	
GEGN	481	3.0	ANALYTICAL HYDROLOGY	
GEGN	483	3.0	MATHEMATICAL MODELING OF GROUNDWATER SYSTEMS	
GEOL	308	3.0	INTRODUCTORY APPLIED STRUCTURAL GEOLOGY	
GEOL	310	3.0	EARTH MATERIALS	
GEOL	311	3.0	MINING GEOLOGY	
GEOL	315	3.0	SEDIMENTOLOGY AND STRATIGRAPHY	
GEOL	321	3.0	MINERALOGY AND MINERAL CHARACTERIZATION	
GEOL	470	3.0	APPLICATIONS OF SATELLITE REMOTE SENSING	
HASS	100	4.0	NATURE AND HUMAN VALUES	
HASS	200	3.0	GLOBAL STUDIES	
HASS	487	3.0	ENVIRONMENTAL POLITICS AND POLICY	
HASS	488	3.0	GLOBAL WATER POLITICS AND POLICY	
HNRS	105	3.5	INNOVATION AND DISCOVERY IN ENGINEERING ARTS AND SCIENCES I	
HNRS	115	3.5	INNOVATION AND DISCOVERY IN ENGINEERING ARTS AND SCIENCES II	
MATH	111	4.0	CALCULUS FOR SCIENTISTS AND ENGINEERS I	
MATH	112	4.0	CALCULUS FOR SCIENTISTS AND ENGINEERS II	
MATH	201	3.0	INTRODUCTION TO STATISTICS	
MATH	201	3.0	PROBABILITY AND STATISTICS FOR ENGINEERS	
MATH	213	4.0	CALCULUS FOR SCIENTISTS AND ENGINEERS III	
MATH	225	3.0	DIFFERENTIAL EQUATIONS	
MATH	307	3.0	PRINCIPLES OF ECONOMICS	
MATH	332	3.0	LINEAR ALGEBRA	
